NAME_2,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085
Analamanga,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.880452,0.878421,0.876391,0.874361,0.872331,0.870301,0.868271,0.866241,0.864210,0.862180,0.860150,0.858120,0.856090,0.854060,0.852030,0.850000,0.847969,0.845939,0.843909,0.841879,0.839849,0.837819,0.835789,0.833758,0.831728,0.829239,0.826750,0.824260,0.821771,0.819282,0.816793,0.814303,0.811814,0.809325,0.806835,0.804346,0.801857,0.799368,0.796878,0.794389,0.791900,0.789410,0.786921,0.784432,0.781942,0.779453,0.776964,0.774475,0.771985,0.769496,0.767007,0.764517,0.762028,0.759539,0.757049,0.754560,0.752071,0.749582,0.747092,0.744603
Bongolava,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.866897,0.862985,0.859072,0.855160,0.851248,0.847335,0.843423,0.839511,0.835598,0.831686,0.827773,0.823861,0.819949,0.816036,0.812124,0.808212,0.804299,0.800387,0.796474,0.792562,0.788650,0.784737,0.780825,0.776913,0.773000,0.771830,0.770659,0.769489,0.768318,0.767148,0.765977,0.764807,0.763636,0.762466,0.761295,0.760125,0.758954,0.757784,0.756613,0.755443,0.754272,0.753102,0.751931,0.750761,0.749590,0.748420,0.747249,0.746079,0.744908,0.743738,0.742568,0.741397,0.740227,0.739056,0.737886,0.736715,0.735545,0.734374,0.733204,0.732033
Itasy,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.836572,0.832305,0.828039,0.823772,0.819506,0.815239,0.810972,0.806706,0.802439,0.798173,0.793906,0.789640,0.785373,0.781106,0.776840,0.772573,0.768307,0.764040,0.759773,0.755507,0.751240,0.746974,0.742707,0.738440,0.734174,0.732643,0.731112,0.729580,0.728049,0.726518,0.724987,0.723456,0.721925,0.720394,0.718862,0.717331,0.715800,0.714269,0.712738,0.711207,0.709676,0.708144,0.706613,0.705082,0.703551,0.702020,0.700489,0.698958,0.697427,0.695895,0.694364,0.692833,0.691302,0.689771,0.688240,0.686709,0.685177,0.683646,0.682115,0.680584
Vakinankaratra,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.896712,0.894501,0.892290,0.890079,0.887868,0.885657,0.883446,0.881235,0.879024,0.876812,0.874601,0.872390,0.870179,0.867968,0.865757,0.863546,0.861335,0.859124,0.856913,0.854702,0.852490,0.850279,0.848068,0.845857,0.843646,0.842573,0.841501,0.840428,0.839355,0.838282,0.837210,0.836137,0.835064,0.833992,0.832919,0.831846,0.830773,0.829701,0.828628,0.827555,0.826482,0.825410,0.824337,0.823264,0.822191,0.821119,0.820046,0.818973,0.817901,0.816828,0.815755,0.814682,0.813610,0.812537,0.811464,0.810391,0.809319,0.808246,0.807173,0.806100
Diana,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.948775,0.948438,0.948101,0.947764,0.947427,0.947090,0.946753,0.946416,0.946079,0.945742,0.945405,0.945068,0.944731,0.944394,0.944057,0.943720,0.943382,0.943045,0.942708,0.942371,0.942034,0.941697,0.941360,0.941023,0.940686,0.940454,0.940221,0.939988,0.939756,0.939523,0.939291,0.939058,0.938826,0.938593,0.938361,0.938128,0.937895,0.937663,0.937430,0.937198,0.936965,0.936733,0.936500,0.936267,0.936035,0.935802,0.935570,0.935337,0.935105,0.934872,0.934640,0.934407,0.934174,0.933942,0.933709,0.933477,0.933244,0.933012,0.932779,0.932547
Sava,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965605,0.965313,0.965020,0.964727,0.964435,0.964142,0.963849,0.963557,0.963264,0.962971,0.962679,0.962386,0.962094,0.961801,0.961508,0.961216,0.960923,0.960630,0.960338,0.960045,0.959752,0.959460,0.959167,0.958874,0.958582,0.958434,0.958286,0.958137,0.957989,0.957841,0.957693,0.957545,0.957397,0.957249,0.957101,0.956953,0.956805,0.956657,0.956509,0.956361,0.956212,0.956064,0.955916,0.955768,0.955620,0.955472,0.955324,0.955176,0.955028,0.954880,0.954732,0.954584,0.954435,0.954287,0.954139,0.953991,0.953843,0.953695,0.953547,0.953399
Amoron'i mania,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920145,0.919932,0.919719,0.919506,0.919293,0.919080,0.918867,0.918654,0.918441,0.918228,0.918015,0.917802,0.917589,0.917376,0.917163,0.916950,0.916737,0.916524,0.916311,0.916098,0.915885,0.915672,0.915459,0.915246,0.915034,0.914026,0.913019,0.912012,0.911005,0.909998,0.908991,0.907984,0.906977,0.905970,0.904963,0.903956,0.902949,0.901942,0.900935,0.899928,0.898921,0.897914,0.896907,0.895900,0.894893,0.893886,0.892879,0.891872,0.890865,0.889858,0.888851,0.887844,0.886837,0.885830,0.884822,0.883815,0.882808,0.881801,0.880794,0.879787
Atsimo-Atsinana,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978151,0.977593,0.977034,0.976476,0.975917,0.975359,0.974801,0.974242,0.973684,0.973126,0.972567,0.972009,0.971450,0.970892,0.970334,0.969775,0.969217,0.968659,0.968100,0.967542,0.966983,0.966425,0.965867,0.965308,0.964750,0.964448,0.964147,0.963845,0.963543,0.963242,0.962940,0.962638,0.962337,0.962035,0.961733,0.961432,0.961130,0.960828,0.960527,0.960225,0.959923,0.959622,0.959320,0.959018,0.958717,0.958415,0.958113,0.957812,0.957510,0.957208,0.956907,0.956605,0.956304,0.956002,0.955700,0.955399,0.955097,0.954795,0.954494,0.954192
Haute matsiatra,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.900889,0.900349,0.899809,0.899269,0.898729,0.898190,0.897650,0.897110,0.896570,0.896031,0.895491,0.894951,0.894411,0.893872,0.893332,0.892792,0.892252,0.891713,0.891173,0.890633,0.890093,0.889554,0.889014,0.888474,0.887934,0.885874,0.883814,0.881753,0.879693,0.877633,0.875572,0.873512,0.871452,0.869391,0.867331,0.865271,0.863210,0.861150,0.859090,0.857029,0.854969,0.852909,0.850848,0.848788,0.846727,0.844667,0.842607,0.840546,0.838486,0.836426,0.834365,0.832305,0.830245,0.828184,0.826124,0.824064,0.822003,0.819943,0.817883,0.815822
Ihorombe,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.873963,0.872662,0.871361,0.870060,0.868759,0.867458,0.866158,0.864857,0.863556,0.862255,0.860954,0.859653,0.858352,0.857051,0.855751,0.854450,0.853149,0.851848,0.850547,0.849246,0.847945,0.846644,0.845343,0.844043,0.842742,0.840893,0.839045,0.837197,0.835349,0.833500,0.831652,0.829804,0.827956,0.826108,0.824259,0.822411,0.820563,0.818715,0.816866,0.815018,0.813170,0.811322,0.809473,0.807625,0.805777,0.803929,0.802080,0.800232,0.798384,0.796536,0.794688,0.792839,0.790991,0.789143,0.787295,0.785446,0.783598,0.781750,0.779902,0.778053
Vatovavy Fitovinany,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.979064,0.978459,0.977854,0.977249,0.976644,0.976039,0.975435,0.974830,0.974225,0.973620,0.973015,0.972410,0.971805,0.971201,0.970596,0.969991,0.969386,0.968781,0.968176,0.967571,0.966966,0.966362,0.965757,0.965152,0.964547,0.963942,0.963638,0.963335,0.963031,0.962727,0.962423,0.962120,0.961816,0.961512,0.961209,0.960905,0.960601,0.960297,0.959994,0.959690,0.959386,0.959082,0.958779,0.958475,0.958171,0.957867,0.957564,0.957260,0.956956,0.956652,0.956349,0.956045,0.955741,0.955437,0.955134,0.954830,0.954526,0.954223,0.953919,0.953615,0.953311
Betsiboka,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.835683,0.831821,0.827959,0.824097,0.820236,0.816374,0.812512,0.808650,0.804788,0.800927,0.797065,0.793203,0.789341,0.785479,0.781618,0.777756,0.773894,0.770032,0.766170,0.762308,0.758447,0.754585,0.750723,0.746861,0.742999,0.739138,0.737786,0.736435,0.735084,0.733733,0.732382,0.731031,0.729679,0.728328,0.726977,0.725626,0.724275,0.722923,0.721572,0.720221,0.718870,0.717519,0.716168,0.714816,0.713465,0.712114,0.710763,0.709412,0.708061,0.706709,0.705358,0.704007,0.702656,0.701305,0.699953,0.698602,0.697251,0.695900,0.694549,0.693198,0.691846
Boeny,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.805167,0.800632,0.796098,0.791563,0.787029,0.782494,0.777960,0.773425,0.768891,0.764356,0.759822,0.755287,0.750753,0.746218,0.741684,0.737149,0.732615,0.728080,0.723545,0.719011,0.714476,0.709942,0.705407,0.700873,0.696338,0.691804,0.689750,0.687695,0.685641,0.683587,0.681532,0.679478,0.677424,0.675370,0.673315,0.671261,0.669207,0.667153,0.665098,0.663044,0.660990,0.658935,0.656881,0.654827,0.652773,0.650718,0.648664,0.646610,0.644556,0.642501,0.640447,0.638393,0.636338,0.634284,0.632230,0.630176,0.628121,0.626067,0.624013,0.621959,0.619904
Melaky,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.813767,0.810876,0.807984,0.805092,0.802200,0.799308,0.796416,0.793525,0.790633,0.787741,0.784849,0.781957,0.779066,0.776174,0.773282,0.770390,0.767498,0.764606,0.761715,0.758823,0.755931,0.753039,0.750147,0.747255,0.744364,0.741472,0.740487,0.739501,0.738516,0.737531,0.736545,0.735560,0.734575,0.733590,0.732604,0.731619,0.730634,0.729648,0.728663,0.727678,0.726693,0.725707,0.724722,0.723737,0.722751,0.721766,0.720781,0.719796,0.718810,0.717825,0.716840,0.715854,0.714869,0.713884,0.712899,0.711913,0.710928,0.709943,0.708957,0.707972,0.706987
Sofia,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.844376,0.842144,0.839913,0.837682,0.835451,0.833219,0.830988,0.828757,0.826526,0.824294,0.822063,0.819832,0.817601,0.815369,0.813138,0.810907,0.808676,0.806444,0.804213,0.801982,0.799751,0.797519,0.795288,0.793057,0.790826,0.788595,0.787814,0.787034,0.786253,0.785473,0.784692,0.783912,0.783131,0.782351,0.781570,0.780790,0.780009,0.779229,0.778448,0.777668,0.776887,0.776107,0.775326,0.774546,0.773765,0.772985,0.772204,0.771424,0.770643,0.769863,0.769082,0.768302,0.767521,0.766741,0.765961,0.765180,0.764400,0.763619,0.762839,0.762058,0.761278
Alaotra-Mangoro,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.969196,0.968377,0.967558,0.966739,0.965920,0.965101,0.964281,0.963462,0.962643,0.961824,0.961005,0.960186,0.959367,0.958548,0.957729,0.956910,0.956091,0.955272,0.954453,0.953634,0.952815,0.951996,0.951177,0.950358,0.949539,0.948720,0.948516,0.948312,0.948108,0.947904,0.947700,0.947497,0.947293,0.947089,0.946885,0.946681,0.946478,0.946274,0.946070,0.945866,0.945662,0.945459,0.945255,0.945051,0.944847,0.944643,0.944439,0.944236,0.944032,0.943828,0.943624,0.943420,0.943217,0.943013,0.942809,0.942605,0.942401,0.942197,0.941994,0.941790,0.941586
Analanjirofo,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.992469,0.991488,0.990506,0.989524,0.988542,0.987560,0.986578,0.985596,0.984614,0.983632,0.982650,0.981668,0.980686,0.979704,0.978722,0.977740,0.976758,0.975776,0.974794,0.973812,0.972830,0.971848,0.970866,0.969884,0.968902,0.967920,0.967798,0.967676,0.967554,0.967433,0.967311,0.967189,0.967067,0.966945,0.966823,0.966702,0.966580,0.966458,0.966336,0.966214,0.966092,0.965971,0.965849,0.965727,0.965605,0.965483,0.965361,0.965240,0.965118,0.964996,0.964874,0.964752,0.964630,0.964508,0.964387,0.964265,0.964143,0.964021,0.963899,0.963777,0.963656
Atsinanana,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.985694,0.984797,0.983901,0.983005,0.982109,0.981213,0.980317,0.979421,0.978525,0.977629,0.976733,0.975836,0.974940,0.974044,0.973148,0.972252,0.971356,0.970460,0.969564,0.968668,0.967771,0.966875,0.965979,0.965083,0.964187,0.963291,0.963138,0.962985,0.962832,0.962679,0.962527,0.962374,0.962221,0.962068,0.961915,0.961762,0.961609,0.961456,0.961304,0.961151,0.960998,0.960845,0.960692,0.960539,0.960386,0.960233,0.960081,0.959928,0.959775,0.959622,0.959469,0.959316,0.959163,0.959010,0.958858,0.958705,0.958552,0.958399,0.958246,0.958093,0.957940
Androy,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.758050,0.754814,0.751579,0.748343,0.745108,0.741872,0.738636,0.735401,0.732165,0.728929,0.725694,0.722458,0.719222,0.715987,0.712751,0.709515,0.706280,0.703044,0.699809,0.696573,0.693337,0.690102,0.686866,0.683630,0.680395,0.677159,0.675264,0.673368,0.671473,0.669577,0.667682,0.665787,0.663891,0.661996,0.660100,0.658205,0.656309,0.654414,0.652519,0.650623,0.648728,0.646832,0.644937,0.643042,0.641146,0.639251,0.637355,0.635460,0.633564,0.631669,0.629774,0.627878,0.625983,0.624087,0.622192,0.620297,0.618401,0.616506,0.614610,0.612715,0.610820
Anosy,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.798475,0.795804,0.793134,0.790464,0.787793,0.785123,0.782453,0.779783,0.777112,0.774442,0.771772,0.769101,0.766431,0.763761,0.761090,0.758420,0.755750,0.753079,0.750409,0.747739,0.745069,0.742398,0.739728,0.737058,0.734387,0.731717,0.729625,0.727532,0.725439,0.723347,0.721254,0.719162,0.717069,0.714977,0.712884,0.710792,0.708699,0.706607,0.704514,0.702422,0.700329,0.698236,0.696144,0.694051,0.691959,0.689866,0.687774,0.685681,0.683589,0.681496,0.679404,0.677311,0.675219,0.673126,0.671034,0.668941,0.666848,0.664756,0.662663,0.660571,0.658478
Atsimo-Andrefana,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.574763,0.566361,0.557959,0.549556,0.541154,0.532752,0.524349,0.515947,0.507545,0.499142,0.490740,0.482338,0.473935,0.465533,0.457131,0.448728,0.440326,0.431924,0.423521,0.415119,0.406717,0.398314,0.389912,0.381510,0.373107,0.364705,0.363096,0.361488,0.359879,0.358270,0.356662,0.355053,0.353444,0.351836,0.350227,0.348618,0.347010,0.345401,0.343792,0.342184,0.340575,0.338966,0.337358,0.335749,0.334141,0.332532,0.330923,0.329315,0.327706,0.326097,0.324489,0.322880,0.321271,0.319663,0.318054,0.316445,0.314837,0.313228,0.311619,0.310011,0.308402
Menabe,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.616441,0.612526,0.608611,0.604697,0.600782,0.596868,0.592953,0.589038,0.585124,0.581209,0.577295,0.573380,0.569466,0.565551,0.561636,0.557722,0.553807,0.549893,0.545978,0.542063,0.538149,0.534234,0.530320,0.526405,0.522490,0.518576,0.516266,0.513956,0.511645,0.509335,0.507025,0.504715,0.502405,0.500095,0.497784,0.495474,0.493164,0.490854,0.488544,0.486234,0.483923,0.481613,0.479303,0.476993,0.474683,0.472373,0.470063,0.467752,0.465442,0.463132,0.460822,0.458512,0.456202,0.453891,0.451581,0.449271,0.446961,0.444651,0.442341,0.440030,0.437720
